x;y;z;normal_x;normal_y;normal_z;camera_posx;camera_posy;camera_posz;camera_rotx;camera_roty;camera_rotz
-0.3255707;3.143225;17.41441;0.1900152;-0.001062179;-0.9817805;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3190581;3.223454;17.419;0.8219238;-0.0009560841;-0.5695966;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3818162;3.29606;17.85167;-0.174878;0.05765475;-0.9829006;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.3267392;3.012025;17.42025;0.1950929;-1.667347e-07;-0.9807848;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2997418;3.294729;17.85772;1.540234e-06;-1.979759e-07;-1.0;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.4396214;3.799544;21.00932;0.4601663;-0.0004756557;-0.8878326;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2277765;3.035084;20.84727;0.4935602;0.0255509;-0.8693362;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-0.2568548;3.099698;17.85772;-1.324767e-06;-5.32238e-06;-1.0;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-2.539657;4.207637;19.83254;0.5796133;0.000287585;-0.8148916;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
-3.725034;4.806652;21.48372;0.2433929;0.151593;-0.9580081;-0.2551279;3.171733;16.98934;0.776152;357.0067;0.0
1.723461;4.15925;-3.839796;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.981829;4.181857;-3.755828;-0.6919256;0.1511322;0.7059732;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.792947;4.103641;-3.893902;-0.8303533;0.08973181;-0.5499651;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.757261;4.101796;-3.953581;-0.7228459;0.0446389;0.689566;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.637946;4.151227;-3.757623;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
2.84604;4.19727;-2.8859;-0.9955345;0.09366925;0.01171229;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
6.055831;4.105232;1.480077;-0.8710645;-4.371141e-08;-0.4911686;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
6.061815;3.519517;1.469466;-0.8710645;-4.371141e-08;-0.4911686;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.630555;4.091953;-3.758401;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
1.672866;4.036866;-3.807002;-0.6943472;0.09594029;-0.7132163;1.290503;4.159473;-4.031404;0.2367007;57.8634;0.0
2.310053;5.504236;20.71855;0.7100189;-0.08420126;-0.6991305;2.855056;5.584916;20.66557;13.16326;258.201;0.0
-0.2249837;5.125307;20.84917;0.4935602;0.02555105;-0.8693363;2.855056;5.584916;20.66557;13.16326;258.201;0.0
1.889065;5.378974;20.04085;0.7104697;-0.0105641;0.7036484;2.855056;5.584916;20.66557;13.16326;258.201;0.0
1.851535;5.691206;20.08322;0.7088357;-0.01031432;0.7052982;2.855056;5.584916;20.66557;13.16326;258.201;0.0
-2.727256;6.183732;17.55501;0.8710645;4.371141e-08;0.4911686;2.855056;5.584916;20.66557;13.16326;258.201;0.0
9.284792;2.703539;3.537769;0.4350317;-0.0005794714;-0.9004149;9.440749;2.714364;2.820414;355.0379;308.7419;2.142464e-07
